Дата счета,ID Счета,ID позиции счета,ID заявки,Наименование позиции в счете,Наименование позиции в заявке,Кол-во позиций в счете,Стоимость позиции
2021-09-23 12:22:18.344,49383,248921,28858,Нивелир лазерный GLL 3-80CG +BM1+12V+L-boxx 0 601 063 Е00 BOSCH,Нивелир лазерный BOSCH GLL 3-80 CG,5.0,211750.0
2021-09-23 12:22:18.344,49383,248922,28858,Молоток слесарный дер. рукоятка Стандарт 500гр,Молоток 500гр,10.0,1710.0
2021-09-23 12:22:18.344,49383,248923,28858,Молоток слесарный дер. рукоятка Стандарт 1000гр,Молоток 1кг,10.0,2740.0
2021-09-23 12:22:18.344,49383,248924,28858,Молоток слесарный дер. рукоятка Стандарт 1500гр,"Молоток 1,5кг",10.0,3650.0
2021-09-23 12:22:18.344,49383,248925,28858,Молоток слесарный дер. рукоятка Стандарт 2000гр,Молоток 2кг,10.0,4450.0
2021-09-23 12:22:18.344,49383,248926,28858,Кувалда кованая дер. рукоятка Стандарт 5кг,Кувалда 5 кг,5.0,7130.0
2021-09-23 12:22:18.344,49383,248927,28858,Клещи арматурные вязальные 280мм KNIPEX,"Кусачки ""Книпекс"" 280мм.",50.0,67500.0
2021-09-23 12:22:18.344,49383,248928,28858,Рулетка DIREKT обрезиненный корпус 5мх19мм,"Рулетка ""DIRECT"" обрезиненный корпус 5м  х19мм (10/10",100.0,13900.0
2021-09-23 14:20:58.835,49423,249086,28858,Блок-контейнер Пост охраны БП-01,КПП с зоной отдыха охраны,1.0,311700.0
2021-09-23 14:20:58.835,49423,249087,28858,Блок-контейнер БК-046 Пост охраны,Будка Охраны,1.0,192000.0
2021-09-24 10:30:33.329,49513,249656,28858,"Защитное ограждение 2 АП секция 2000х2500: каркас из трубы 40х40 с покраской по RAL 7016, наполнение сварной оцинков сетка яч 200х50, опорный блок ФБС 24.4.6 У, без освещения","Забор (опоры, стойки, банер, сварная сетка)",200.0,744000.0
2021-09-24 10:30:33.329,49513,249657,28858,"Ворота распашные Характеристики: 6000х2000 мм, заполнение профилированным листом светло-серый",Ворота автомобильные (по аналогии с забором стройплощадки,2.0,99000.0
2021-09-24 10:30:33.329,49513,249658,28974,Доставка,Доставка,6.0,99000.0
2021-09-24 11:37:32.578,49537,249767,28858,Углошлифов.машина AG 230-24D резка комп.,Углошилифов. Машина AG 230-24D ,10.0,241587.0
2021-09-24 11:37:32.578,49537,249768,28858,УШМ AG 125-13S с 25 дисками SP 125x1.2,Углошилифов. Машина AG 125-13S ,10.0,136901.0
2021-09-24 11:37:32.578,49537,249769,28858,Отбойный молоток TE 700-AVR,Отбойный молоток TE 70,2.0,132857.55
2021-09-24 11:37:32.578,49537,249770,28858,Долото острое TE-YX SM 50 (10),Острое долото TE-SPX SM 50 ,10.0,13884.15
2021-09-24 11:37:32.578,49537,249771,28858,Долото плоское TE-Y FM 40 (10),долото TE-SPX FM 50 ,10.0,6236.79
2021-09-24 11:37:32.578,49537,249772,28858,Циркулярная пила SCW 70 230-240V коробка,Циркулярная пила SCW 70,2.0,56995.05
2021-09-24 11:37:32.578,49537,249773,28858,Диск цирк.пилы SCB WS CC 190x30 z54 (5),Диск цирк пилы SCB WS CC 190*30 z54,10.0,30737.7
2021-09-24 11:37:32.578,49537,249832,28858,Лобзик SJT 6 220-240V коробка,Лобзик WSJ 850-ET,3.0,63322.87
2021-09-24 11:37:32.578,49537,249833,28858,"Шуруп. внутр. отделки SD 5000 230V
",SD 5000 ШУРУПОВЕРТ ДЛЯ ГИПСОКАРТОНА,10.0,107898.0
2021-09-24 11:37:32.578,49537,249834,28858,Аккум. дрель/шуруповёрт SF 4-A22 коробка,SFC 22-A АККУМУЛЯТОРНАЯ ДРЕЛЬ-ШУРУПОВЕРТ,10.0,124057.5
2021-09-24 11:37:32.578,49537,249835,28858,Батарея B 22/4.0 Li-ion,SFC 22-A АККУМУЛЯТОРНАЯ ДРЕЛЬ-ШУРУПОВЕРТ,0.0,153010.2
2021-09-24 11:37:32.578,49537,249836,28858,"Зарядное устройство C 4/36-350 220V коро
",SFC 22-A АККУМУЛЯТОРНАЯ ДРЕЛЬ-ШУРУПОВЕРТ,0.0,67642.57
2021-09-24 11:37:32.578,49537,249837,28858,Перфоратор TE 7-C 230V коробка ,TE 7-C ПЕРФОРАТОР,10.0,191173.5
2021-09-24 11:37:32.578,49537,249838,28858,UD 4 + сверла HSS 2-8 набор,UD 4 ДРЕЛЬ-ШУРУПОВЕРТ,3.0,14493.15
2021-09-24 11:37:32.578,49537,249839,28858,Долото широкое TE-YX SC 36/5,Долото широкое 215мм SDS-,25.0,121881.37
2021-09-24 11:37:32.578,49537,249840,28858,Долото острое TE-YX SM 50 (10),Долото SDS-max пика 400 мм,20.0,27768.3
2021-09-24 11:37:32.578,49537,249841,28858,Долото острое TE-YX SM 36 (10) ,Долото SDS-max пика 400 мм,10.0,11260.2
2021-09-24 11:37:32.578,49537,249842,28858,Отрез.диск AC-D125 SP2.5mm(1500шт)компл.,Углошилифов. Машина AG 125-13S ,0.0,1.0
2021-09-24 11:37:32.578,49537,249843,28858,"Отрезной диск AC-D SP 230x2.5 (800 шт)
",Углошилифов. Машина AG 230-24D ,0.0,1.0
2021-09-24 11:37:32.578,49537,249844,28858,"Твердосплавный бур TE-CX 12/17 MP50
",TE 7-C ПЕРФОРАТОР,0.0,50.0
2021-09-24 11:37:32.578,49537,249845,28990,Доставка,Доставка,1.0,6350.0
2021-09-27 09:19:12.412,49684,250868,28858,Кабель силовой КГтп-ХЛ 3х2.5-0.660 ТРТ С,КГ 3х2.5 (ГОСТ) кабель силовой медный гибкий двойная изол.ре,2000.0,148992.0
2021-09-27 10:01:48.485,49699,250925,28858,Лопата совковая усиленная,Лапата савковая усиленная ,50.0,6990.0
2021-09-27 10:01:48.485,49699,250926,28858,"Щетка тротуарная с металлическим держателем, 600 мм, жесткая",Щетка  тротуарная 600мм,50.0,10383.5
2021-09-27 10:01:48.485,49699,250927,28858,"Черенок для лопаты, дерево, 40 мм",Черинок для лопаты 40*1300 деревянный,50.0,2100.0
2021-09-27 10:01:48.485,49699,250928,28858,"Черенок для метел и швабр, дерево, 25мм, 1 сорт",Черинок для метел и швабр дерево 25*1300 мм,50.0,1950.0
2021-09-27 10:01:48.485,49699,250929,28858,Лом 1250 мм,"Лом 1,5м",5.0,2300.0
2021-09-27 10:01:48.485,49699,250930,28858,"Респиратор ""У-2К""",Респиратор У 2К,1000.0,39300.0
